raw_aspect,sentence,label,label_id
good front cam,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",camera,17
moderate back camera,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",camera,17
screen to body ratio,the screen to body ratio is more than 90%,display,37
front camera of 9 lite,front camera of 9 lite is better then 10 lite and back camera is much much better than 9 lite,camera,17
back camera,front camera of 9 lite is better then 10 lite and back camera is much much better than 9 lite,camera,17
camera,don't buy if u want good camera,camera,17
camera,rest all perfect for me in all aspects other than camera,camera,17
camera,camera is not as expected but its good,camera,17
battery backup,good battery backup,battery_life,7
lookwise,lookwise its awesome,design,34
display,display is not as great as honor 9n,display,37
overall,overall its nice product,overall,65
looks like a high end sleek phone,"pros: looks like a high end sleek phone, camera is almost a canon dslr, value for money",design,34
camera,"pros: looks like a high end sleek phone, camera is almost a canon dslr, value for money",camera,17
value for money,"pros: looks like a high end sleek phone, camera is almost a canon dslr, value for money",value_for_money,104
battery,"cons: battery is average, speed and performance is average",battery,6
speed and performance,"cons: battery is average, speed and performance is average",performance,68
overall unmatchable value for money,overall unmatchable value for money at this price,value_for_money,104
phone,very good phone,overall,65
camera,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,camera,17
battery backup,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,battery,6
charging speed,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,charging_speed,24
design and look,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,design,34
speed of phone,value of money camera is not so good as i expected but the battery backup is really good and charging speed is also average but the design and look is really awesome and speed of phone is also very nice,performance,68
value for money,phone is great value for money in this price range,value_for_money,104
display,"good display, camera and performance",display,37
camera,"good display, camera and performance",camera,17
performance,"good display, camera and performance",performance,68
worth to buy,worth to buy,value_for_money,104
mobile of the honor,"i speak to my brother, my sister and my house or my friend for whatever phone i do and i record those people because the mobile of the honor is very good and everything else is very fine and to be a taillight don't ask man is very good",quality,81
everything else,"i speak to my brother, my sister and my house or my friend for whatever phone i do and i record those people because the mobile of the honor is very good and everything else is very fine and to be a taillight don't ask man is very good",overall,65
taillight,"i speak to my brother, my sister and my house or my friend for whatever phone i do and i record those people because the mobile of the honor is very good and everything else is very fine and to be a taillight don't ask man is very good",notification_light,62
performance,performance is avg and at times slower than 2gb redmi 7 overall,performance,68
overall,performance is avg and at times slower than 2gb redmi 7 overall,overall,65
ram management,ram management is worst and it can't even hold 2 apps in ram at a time,performance,68
app reloading,"when you go to any upi app to complete payment from any shopping app or ticket booking app and come back to shopping app, it will reload and payments will fail due to app reloading",software,91
payments will fail,"when you go to any upi app to complete payment from any shopping app or ticket booking app and come back to shopping app, it will reload and payments will fail due to app reloading",payment_issues,67
system apps,"even system apps like settings, contacts etc will reload everytime",software,91
settings,"even system apps like settings, contacts etc will reload everytime",software,91
contacts,"even system apps like settings, contacts etc will reload everytime",software,91
the phone,"hi everyone , the phone looks amazing",design,34
battery back,battery back is also descent,battery,6
lasts a whole day,"lasts a whole day , front camera is the highlight",battery_life,7
front camera,"lasts a whole day , front camera is the highlight",camera,17
emui,emui as always is so beautiful,ui,102
update,got an update just after unboxing ( update size around 3 gb ) overall my upgrade from honor 9 n to 10 lite is great one,software,91
upgrade from honor 9 n to 10 lite,got an update just after unboxing ( update size around 3 gb ) overall my upgrade from honor 9 n to 10 lite is great one,previous_model_comparison,73
mobile,best mobile in this price,overall,65
colorful led notification light,colorful led notification light,notification_light,62
full charge,full charge in 2 hours,charging_speed,24
ui,ui & camera is also best,ui,102
camera,ui & camera is also best,camera,17
latest security update,you will also get latest security update upto timely,software,91
phone,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,overall,65
rate,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,price,74
2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,sim_card_slot,87
display,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,display,37
photograps are coming nicely,it is very good phone rate is good but only 2 slots provided one for sim and other for card we can't have two sim if memory card is put on if memory card is sacrificed then and then only we can put sim display is good photograps are coming nicely,camera,17
killer phone,honor 10 lite is a killer phone in this price segmenti like super selfie 24mp and sreen ratio is more than 90%thanks flipkart for your big billion days sale and also thank to honor india,overall,65
super selfie 24mp,honor 10 lite is a killer phone in this price segmenti like super selfie 24mp and sreen ratio is more than 90%thanks flipkart for your big billion days sale and also thank to honor india,camera,17
sreen ratio is more than 90%,honor 10 lite is a killer phone in this price segmenti like super selfie 24mp and sreen ratio is more than 90%thanks flipkart for your big billion days sale and also thank to honor india,screen_ratio,83
cemera,best cemera in this price range,camera,17
processer 710 kirin ka,and processer 710 kirin ka is the best,performance,68
display,display best 1080p resolution,display,37
1080p resolution,display best 1080p resolution,display,37
divice fully optimized,divice fully optimized,device_optimization,35
phone,no ussuesand i am using this phone 6 month,phone_type,71
phone work,phone work excellent,performance,68
worth for money,this is really worth for money nice product from honor i loved it,value_for_money,104
product,this is really worth for money nice product from honor i loved it,overall,65
battery,good battery is awesome and display awesome and i like this mobile,battery,6
display,good battery is awesome and display awesome and i like this mobile,display,37
this mobile,good battery is awesome and display awesome and i like this mobile,overall,65
performance,"phone has awesome performance, can play pubg in high end graphic, it also have some pre installed apps which r very useful, guys now app like mx player etc have lots of ads in it so it's good to have pre installed apps in phone",performance,68
pre installed apps,"phone has awesome performance, can play pubg in high end graphic, it also have some pre installed apps which r very useful, guys now app like mx player etc have lots of ads in it so it's good to have pre installed apps in phone",preinstalled_apps,72
notification light,"notification light emits colourful light, which is good",notification_light,62
back is of plastic and glossy,"needs more care as back is of plastic and glossy, so thin lamination is must, however they provided a phone case and screen guard",build_quality,14
thin lamination,"needs more care as back is of plastic and glossy, so thin lamination is must, however they provided a phone case and screen guard",protective_layer,80
phone case,"needs more care as back is of plastic and glossy, so thin lamination is must, however they provided a phone case and screen guard",accessories,0
screen guard,"needs more care as back is of plastic and glossy, so thin lamination is must, however they provided a phone case and screen guard",display_protection,38
phon,best phon in this price range,phone_type,71
camera,good camera good battery good screen,camera,17
battery,good camera good battery good screen,battery,6
screen,good camera good battery good screen,display,37
features,but there are two or three features not like honor 7a,features,44
good phone,good phone at a deal od just rs 7000 on big billion days,overall,65
phone,"i bought it for my father and i must say,the phone is just brilliant",overall,65
display,display is fhd+ and viewing angles are best,display,37
viewing angles,display is fhd+ and viewing angles are best,display,37
camera,camera is awesome at this price point,camera,17
pictures,can shot good pictures with the camera,camera,17
camera,can shot good pictures with the camera,camera,17
ai,ai can also enhance the photo a lot,ai_features,1
photo,ai can also enhance the photo a lot,camera,17
audio,audio is ok,sound_quality,93
loudness,no problems with loudness but lacks base,sound_quality,93
base,no problems with loudness but lacks base,sound_quality,93
emui,emui is filled with lots of stuff,ui,102
kirin 710,kirin 710 does the job well,performance,68
battery,only con is that the battery is above average,battery,6
best at this segment,"not best at this segment,and at this price point li",value_proposition,105
at this price point,"not best at this segment,and at this price point li",price,74
screen size,i have been using samsunga9 for a while now(cost is for 32k) and this mobile also same screen size,display,37
screen to body ratio,but because of better screen to body ratio this mobile is more easy to use,screen_ratio,83
mobile,but because of better screen to body ratio this mobile is more easy to use,usability,103
phone call,in two days i were in phone call for 4 hours and lot of browsing,call_quality,16
browsing,in two days i were in phone call for 4 hours and lot of browsing,browsing,11
battery,the battery is sufficient enough and better than my year old samsunga9,battery,6
qhd resolution,in this price brocket this is the only mobile with qhd resolution while all other mobiles are 750 pixel which makes reading bad,display_resolution,39
750 pixel,in this price brocket this is the only mobile with qhd resolution while all other mobiles are 750 pixel which makes reading bad,display_resolution,39
reading,in this price brocket this is the only mobile with qhd resolution while all other mobiles are 750 pixel which makes reading bad,display,37
mobile,my recomendation is go this mobile,phone_type,71
phone camera,firstly i am not here talking about looking of this phone camera display they all good,camera,17
display,firstly i am not here talking about looking of this phone camera display they all good,display,37
hanging or freezing problem,i'm facing the hanging or freezing problem from day one,performance,68
battery performance,battery performance is decent not upto the mark,battery,6
sound problem,and one more thing i am facing about it's sound problem like when you listen song or something with earphone sound drops suddenly,sound_quality,93
sound drops suddenly,and one more thing i am facing about it's sound problem like when you listen song or something with earphone sound drops suddenly,sound_quality,93
gaming phone,not a gaming phone at all,gaming_performance,47
overall,overall don't go for it friends,overall,65
mobile,the mobile is pretty good as per price but u can either use two sim or one sim and memory card i,phone_type,71
price,the mobile is pretty good as per price but u can either use two sim or one sim and memory card i,price,74
use two sim or one sim and memory card,the mobile is pretty good as per price but u can either use two sim or one sim and memory card i,sim_card_slot,87
hybrid slot,e it has a hybrid slot,sim_card_slot,87
battery back up,which is a big drawback and battery back up is also poor,battery_life,7
phone,rather than that very sleek phone light weight and good performance,overall,65
light weight,rather than that very sleek phone light weight and good performance,weight,108
good performance,rather than that very sleek phone light weight and good performance,performance,68
performance,mind blowing purchase and good relationship with honor family i wanted to take honor play 970ai but finally i bought honor 10liteam happy with this and thank flipkart for this happinessthis phone performance is to good processer is super fast hisilocon kirin 710fcamera quality is very goodthanks again to flipkart and there working staf,performance,68
processer,mind blowing purchase and good relationship with honor family i wanted to take honor play 970ai but finally i bought honor 10liteam happy with this and thank flipkart for this happinessthis phone performance is to good processer is super fast hisilocon kirin 710fcamera quality is very goodthanks again to flipkart and there working staf,performance,68
camera quality,mind blowing purchase and good relationship with honor family i wanted to take honor play 970ai but finally i bought honor 10liteam happy with this and thank flipkart for this happinessthis phone performance is to good processer is super fast hisilocon kirin 710fcamera quality is very goodthanks again to flipkart and there working staf,camera,17
look,perfect look and gorgeous design,design,34
design,perfect look and gorgeous design,design,34
phone,the phone is very well balanced and everything is very good at this price,overall,65
everything,the phone is very well balanced and everything is very good at this price,overall,65
cameras,cameras are extremely great specially low light photography is just awesome,camera,17
low light photography,cameras are extremely great specially low light photography is just awesome,camera,17
options,good but now better options are available in market,features,44
front camera,further front camera is not really good as they mentioned it's just ok ok,camera,17
performer,"excellent performer, the phone click's super images that matches with professionals",performance,68
images,"excellent performer, the phone click's super images that matches with professionals",camera,17
processing​ speed,the processing​ speed also very good,performance,68
compact design,compact design and easy to use,design,34
easy to use,compact design and easy to use,usability,103
value for money,value for money,value_for_money,104
the phone,the phone is too nice i am loving it very much,overall,65
honor phone,this is my second honor phone first is honor 9 lite,phone_type,71
camera,so nice camera 📸 and nice looks,camera,17
looks,so nice camera 📸 and nice looks,design,34
value for money,value for money phone,value_for_money,104
honor 6x,i have honor 6x(still running fine),previous_model_comparison,73
phone,highly reliable phone,overall,65
camara,awesome but shot from camara need some more clarity and details,camera,17
software,hope honor improve it through software update 🙏🙏👏👏😊😊😊,software,91
amazing mobile,honor 10 lite is an amazing mobile i have used honor 9 lite as well and it was awesome as well,overall,65
honor 9 lite,honor 10 lite is an amazing mobile i have used honor 9 lite as well and it was awesome as well,previous_model_comparison,73
it,it looks fab,overall,65
camera,"camera is one of the best at this range, pictures quality is very clean and edge capture is excellent",camera,17
pictures quality,"camera is one of the best at this range, pictures quality is very clean and edge capture is excellent",camera,17
edge capture,"camera is one of the best at this range, pictures quality is very clean and edge capture is excellent",camera,17
display viewing,"display viewing good, look also good, processor fast and for gaming turbo 2",display,37
look,"display viewing good, look also good, processor fast and for gaming turbo 2",design,34
processor,"display viewing good, look also good, processor fast and for gaming turbo 2",performance,68
gaming,"display viewing good, look also good, processor fast and for gaming turbo 2",gaming_performance,47
battery,0 makhan but battery is very bad,battery,6
worth of money,worth of money,value_for_money,104
phone,nice phone in this price range with extra ordinary display and nice bettry back up,overall,65
display,nice phone in this price range with extra ordinary display and nice bettry back up,display,37
bettery back up,nice phone in this price range with extra ordinary display and nice bettry back up,battery_life,7
overall performance,overall performance is very good,performance,68
phone,phone is very good,overall,65
camera,"good camera, good battery back up",camera,17
battery back up,"good camera, good battery back up",battery_life,7
phone hanging problem,but one problem is phone hanging problem,performance,68
all,all most all good,overall,65
mobile honor 10 lite,the mobile honor 10 lite is an excellent product,phone_type,71
camera,"pros-camera, display, processor, battery",camera,17
display,"pros-camera, display, processor, battery",display,37
processor,"pros-camera, display, processor, battery",performance,68
battery,"pros-camera, display, processor, battery",battery,6
mobile,very nice mobile and i highly recommend to buy,overall,65
phone,i already have 10 lite my sis like to use this phone so i orded its good awasome phone i love it,overall,65
over all,"over all it's a good product ,except display quality and,the body made with plastic",overall,65
display quality,"over all it's a good product ,except display quality and,the body made with plastic",display,37
the body made with plastic,"over all it's a good product ,except display quality and,the body made with plastic",build_quality,14
charging intecator,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",charging_indicator,22
design,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",design,34
finger print sensitivity,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",fingerprint_sensor,45
face unlocking system,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",face_unlock,43
product,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",overall,65
value for money,"it also have a charging intecator it's aplus point and the design was good ,fastest finger print sensitivity and face unlocking system,at this price it's a good product, value for money",value_for_money,104
pretty awesome for this range,"now am using like for about a month, and its pretty awesome for this range, especially great in performance and display, battery is quite impressive as i was not expecting that much from honor",overall_value,66
performance,"now am using like for about a month, and its pretty awesome for this range, especially great in performance and display, battery is quite impressive as i was not expecting that much from honor",performance,68
display,"now am using like for about a month, and its pretty awesome for this range, especially great in performance and display, battery is quite impressive as i was not expecting that much from honor",display,37
battery,"now am using like for about a month, and its pretty awesome for this range, especially great in performance and display, battery is quite impressive as i was not expecting that much from honor",battery,6
camera,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",camera,17
camera is quite contrasting and does not show details,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",camera,17
quite good for selfie lovers,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",camera,17
phone,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",overall,65
its performance,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",performance,68
display,"for camera i would rate 3 upon 5, since camera is quite contrasting and does not show details, but quite good for selfie lovers, i just love phone, since i bought for its performance and display",display,37
mobile,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,phone_type,71
3 32gb,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,storage,98
black,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,color,25
mobile,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,overall,65
performance,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,performance,68
display,superb mobile all the way i purchase this mobile 3 32gb black very nice mobile performance display very nice,display,37
battery,but i think battery is,battery,6
phone,very nice phone,overall,65
3+32 gb varient,i hv 3+32 gb varient,storage,98
overall good phone,overall good phone around 10k of purchase,overall,65
camera,"camera not good as expected, specially dynamic range",camera,17
dynamic range,"camera not good as expected, specially dynamic range",camera_dynamic_range,18
battery management,battery management is good,battery,6
external speaker,external speaker feel lil robotic sound,speaker_quality,95
fingerprint sensor,fingerprint sensor is awesome,fingerprint_sensor,45
emui,"emui is better than old, much improved",ui,102
display,display is better like amoled,display,37
front camera,front camera good,camera,17
back side,"back side is not satisfactory, very shiney plastic, easily smudges and scratches can impact",build_quality,14
very shiney plastic,"back side is not satisfactory, very shiney plastic, easily smudges and scratches can impact",build_quality,14
easily smudges,"back side is not satisfactory, very shiney plastic, easily smudges and scratches can impact",smudge_resistance,90
scratches,"back side is not satisfactory, very shiney plastic, easily smudges and scratches can impact",durability,41
build quality,build quality average,build_quality,14
phone,"awesome phone, value for money",overall,65
value for money,"awesome phone, value for money",value_for_money,104
3gb ram varient,i bought 3gb ram varient for10k,ram,82
camera,very good camera (al camera),camera,17
al camera,very good camera (al camera),camera,17
battery is average good,battery is average good display phone is waterproof and stylish,battery,6
display,battery is average good display phone is waterproof and stylish,display,37
waterproof,battery is average good display phone is waterproof and stylish,waterproof_feature,107
stylish,battery is average good display phone is waterproof and stylish,design,34
this phone,i highly recoment you to buy this phone,overall,65
gaming,for gaming this phone is perfect,gaming_performance,47
camera,stay away if you are buying it for camera,camera,17
camera output,camera output has no details at all,camera,17
gcam support,no gcam support,gcam_support,48
beautiful looking device,so i am stuck with this beautiful looking device that has poor cameras,design,34
poor cameras,so i am stuck with this beautiful looking device that has poor cameras,camera,17
device,ive started liking the device,overall,65
touch & feel,the touch & feel is much superior to realme & redmi devices in same price bracket,material_feel,57
lags or hangs,no lags or hangs till now,performance,68
display quality,display quality is outstanding too,display,37
device,"so device is great , only con i felt is regarding cameras",overall,65
cameras,"so device is great , only con i felt is regarding cameras",camera,17
price,they arent worth this price,price,74
rest all,rest all are class apart,overall,65
honor devices,fabulous love 😍 honor devices used honor 9 lite and was very much impressed with it,brand,10
honor 9 lite,fabulous love 😍 honor devices used honor 9 lite and was very much impressed with it,previous_model_comparison,73
it is also as expected #fully loaded,it is also as expected #fully loaded,overall,65
phone,"this phone is amazing in this price range nd i get this phone in 9999 in a sale in flipkart, thnku for this amazing phone its camera is also very good nd click fabulous pictures",overall,65
camera,"this phone is amazing in this price range nd i get this phone in 9999 in a sale in flipkart, thnku for this amazing phone its camera is also very good nd click fabulous pictures",camera,17
pictures,"this phone is amazing in this price range nd i get this phone in 9999 in a sale in flipkart, thnku for this amazing phone its camera is also very good nd click fabulous pictures",camera,17
display,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",display,37
camera,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",camera,17
speaker,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",speaker,94
sound,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",sound_quality,93
camera resolution,"display is not too good it is not like a fhd and the camera also the same, one more point is speaker is having single instead of double that why the sound is not sufficient, back & front both are camera resolution is not good because when i m click the pic and doing the zoom the pic was looking very hazy",camera,17
camera quality,i m compare to mi phone note s7 the camera quality was very much good and price that difference in 1000 only and that phone camera mp pixel 48+5 back camera and that camera quality is superb,camera,17
camera,i m compare to mi phone note s7 the camera quality was very much good and price that difference in 1000 only and that phone camera mp pixel 48+5 back camera and that camera quality is superb,camera,17
product,superb product it is satisfied my expectation super fast charging and standby time also good,overall,65
super fast charging,superb product it is satisfied my expectation super fast charging and standby time also good,charging_speed,24
standby time,superb product it is satisfied my expectation super fast charging and standby time also good,battery_life,7
phone,this is the best phone in this price range,overall,65
the camera,the camera is amazing specially the front one and the rare camera takes fantastic pictures even in low light using the flash behind,camera,17
the front one,the camera is amazing specially the front one and the rare camera takes fantastic pictures even in low light using the flash behind,camera,17
the rare camera,the camera is amazing specially the front one and the rare camera takes fantastic pictures even in low light using the flash behind,camera,17
pictures even in low light using the flash behind,the camera is amazing specially the front one and the rare camera takes fantastic pictures even in low light using the flash behind,low_light_photography,56
design,the design of the phone is premium but the display light is bit low while using outdoors under the sunlight apart from that everything is amazing,design,34
display light,the design of the phone is premium but the display light is bit low while using outdoors under the sunlight apart from that everything is amazing,display,37
everything,the design of the phone is premium but the display light is bit low while using outdoors under the sunlight apart from that everything is amazing,overall,65
battery performance,the battery performance is moderate,battery,6
battery,if i dnt use data the battery mostly lasts for a full day otherwise it lasts till evening,battery_life,7
features,the features of the phone are amazing,features,44
honor 10 lite,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,product_name,77
look,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,design,34
features,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,features,44
battery problem,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,battery_life,7
battery discharge faster,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,battery_life,7
phone,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,overall,65
product,honor 10 lite is a very good product and look is awesome all features are good but one little bit problem is battery problem battery discharge faster but all set phone i like this product,overall,65
stylish looking phones,undoubtedly one of the stylish looking phones that come with a great mid-ranger chipset,design,34
great mid-ranger chipset,undoubtedly one of the stylish looking phones that come with a great mid-ranger chipset,performance,68
gpu turbo for gaming,it has gpu turbo for gaming which makes it a great deal above the rest,gaming_performance,47
selfie cam,the selfie cam is good too,camera,17
design,but the design is the best in my opinion,design,34
camera,"camera, processor and display are fantastic",camera,17
processor,"camera, processor and display are fantastic",performance,68
display,"camera, processor and display are fantastic",display,37
value for money,this phone is value for money,value_for_money,104
performance,good performance phone battery backup good,performance,68
battery backup,good performance phone battery backup good,battery_life,7
this mobile,this mobile is too good,overall,65
it,like it most,overall,65
camera,for my dad😊😊😊😊camera ia exterme,camera,17
phone for the price,excellent phone for the price,value_for_money,104
pic quality,pic quality is good,camera,17
phone,awsome phone by honor,overall,65
cam,cam is awsm,camera,17
performance,performance is good,performance,68
battery,battery is descent,battery,6
cam,for cam i have attached same pics to this review,camera,17
mobile,very nice mobile,phone_type,71
performance,performance is osm,performance,68
battery,bit battery is little bit disappointed,battery,6
this,one should buy this without hesitation,overall,65
camara,camara is good,camera,17
performance,performance is tolareble,performance,68
phone lags,phone lags some timeee,performance,68
phone,valuable phone in this price,value_for_money,104
price,valuable phone in this price,price,74
camera quality,"camera quality is good, smooth to use",camera,17
smooth to use,"camera quality is good, smooth to use",usability,103
super camera,"super camera, good battery backup in this price",camera,17
good battery backup in this price,"super camera, good battery backup in this price",battery_life,7
it,"not bet, it is good",overall,65
camera,very good camera,camera,17
phone,this phone is approximately best for middle class people,overall,65
mara value for money,mara value for money,value_for_money,104
nice looking honer 10 lite,nice looking honer 10 lite,design,34
camera,camera is good,camera,17
phone,it's really osm phone camera is to good,overall,65
camera,it's really osm phone camera is to good,camera,17
camera,i liked the camera most,camera,17
mobile screen,my mobile screen got damaged on 3 sept 19 and till now they are saying that our backup team will call you with in 24 hrs but its more than 1 month but i did not get any call or msg,display,37
value of money,value of money 👍👍👍👍👍👍👍👍,value_for_money,104
touch screen,touch screen very sensitive,touchscreen,101
inside parts,"it is just looking like new mobiles but inside parts are used and damaged, this is i personally experienced",internal_components,53
phone,just awesome phone,overall,65
playing pubg,best for playing pubg,gaming_performance,47
camera,camera is better,camera,17
betry pikap,nice luck slim fiss betry pikap not done but very nice fone,battery,6
fone,nice luck slim fiss betry pikap not done but very nice fone,phone_type,71
smartphone,best smartphone at this price,phone_type,71
camera,"nyc camera , display and design",camera,17
display,"nyc camera , display and design",display,37
design,"nyc camera , display and design",design,34
price range,best in market at this price range,price,74
phone camera,this phone camera is good,camera,17
value for money,value for money nice phone nice camera performance 👍👍,value_for_money,104
nice phone,value for money nice phone nice camera performance 👍👍,overall,65
nice camera performance,value for money nice phone nice camera performance 👍👍,camera,17
camera vewing angle,its aswm camera vewing angle,camera,17
performace,and performace was too good,performance,68
design,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,design,34
dual volte support,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,features,44
gaming performance,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,gaming_performance,47
battery backup,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,battery_life,7
camera performance,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,camera_performance,19
hybrid sim slot,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,sim_card_slot,87
fast charging,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,charging_speed,24
hd streaming,pros -excellent designdual volte supportgaming performancebattery backupcamera performancecons -hybrid sim slotno fast chargingno hd streaming,streaming,99
phone,one of the best phone in offer zone,overall,65
budget mobile,best budget mobile,value_for_money,104
satisfied,good i totally satisfied,overall,65
phone,nice phone nd suppeerrbb camera,overall,65
camera,nice phone nd suppeerrbb camera,camera,17
camera,it's amazing superb camera an fabulous look n performance,camera,17
look,it's amazing superb camera an fabulous look n performance,design,34
performance,it's amazing superb camera an fabulous look n performance,performance,68
device,good device in this range with decent performance,overall,65
performance,good device in this range with decent performance,performance,68
sound quality,sound quality very bad,sound_quality,93
tempered glass,tempered glass is little warm,display_protection,38
camera,camera is not satisfying,camera,17
very good mobile,very good mobile but i will buy the 3gb ram mobile storage quickly full,overall,65
3gb ram mobile storage,very good mobile but i will buy the 3gb ram mobile storage quickly full,storage,98
phone,is good phone,overall,65
phn look,awsome phn look so nice,design,34
performance,mobile are good performance,performance,68
camera,best phone in this price camera is best i used 3gb variate but no lag problem in pub g & high graphics games thanks honor india,camera,17
no lag problem in pub g & high graphics games,best phone in this price camera is best i used 3gb variate but no lag problem in pub g & high graphics games thanks honor india,gaming_performance,47
company,"nice, nice company for honar mobile is good",brand,10
easy to handle,"very nice, easy to handle and good to play pubg without lag",ergonomics,42
play pubg without lag,"very nice, easy to handle and good to play pubg without lag",gaming_performance,47
look,look wise gud,design,34
camera quality,gud camera quality,camera,17
phone,best phone in this prize,overall,65
prize,best phone in this prize,price,74
quality,very good quality,quality,81
camera clarity,camera clarity is good 👍,camera,17
product,very good product,overall,65
heating problem,my mobile is very heating problem,heat,52
drin battery,flipkart products rrferble pic not sele in new product or very drin battery not purchase this item,battery,6
product,good product and superb performance,overall,65
performance,good product and superb performance,performance,68
phone,best phone but battery backup very low,overall,65
battery backup,best phone but battery backup very low,battery_life,7
cemra 24 mp,nice product very good cemra 24 mp,camera,17
honor,honor is the best brand,brand,10
everything,"everything is good on this mobile, but its signal strength are its ok , not good not bad",overall,65
signal strength,"everything is good on this mobile, but its signal strength are its ok , not good not bad",signal_strength,86
3gb 32gb,my honor 10 lite 3gb 32gb very hanging,storage,98
hanging,my honor 10 lite 3gb 32gb very hanging,performance,68
photo,this photo is shot from honor 10 lite,camera,17
camera,the camera is amazing,camera,17
ai option,i took this picture with ai option turned on,camera_settings,21
ai function,while i was taking the pic its ai function recognised it as sunset photo capturing,ai_features,1
